Year,Trimester,District,Neighbourhood,Average _rent,Price
2020,1,Ciutat Vella,el Raval,average rent (euro/month),864.5
2020,1,Ciutat Vella,Gothic Quarter,average rent (euro/month),1110.2
2020,1,Ciutat Vella,la Barceloneta,average rent (euro/month),899.5
2020,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",average rent (euro/month),1030.0
2020,1,Eixample,Fort Pienc,average rent (euro/month),1059.9
2020,1,Eixample,la Sagrada Familia,average rent (euro/month),952.6
2020,1,Eixample,la Dreta de l'Eixample,average rent (euro/month),1349.6
2020,1,Eixample,l'Antiga Esquerra de l'Eixample,average rent (euro/month),1150.8
2020,1,Eixample,la Nova Esquerra de l'Eixample,average rent (euro/month),1043.8
2020,1,Eixample,Sant Antoni,average rent (euro/month),1010.5
2020,1,Sants-Montjuic,el Poble Sec,average rent (euro/month),837.0
2020,1,Sants-Montjuic,la Marina de Port,average rent (euro/month),810.1
2020,1,Sants-Montjuic,la Font de la Guatlla,average rent (euro/month),882.4
2020,1,Sants-Montjuic,Hostafrancs,average rent (euro/month),865.0
2020,1,Sants-Montjuic,la Bordeta,average rent (euro/month),870.0
2020,1,Sants-Montjuic,Sants - Badal,average rent (euro/month),858.3
2020,1,Sants-Montjuic,Sants,average rent (euro/month),891.4
2020,1,Les Corts,les Corts,average rent (euro/month),1069.9
2020,1,Les Corts,la Maternitat i Sant Ramon,average rent (euro/month),989.6
2020,1,Les Corts,Pedralbes,average rent (euro/month),1626.9
2020,1,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",average rent (euro/month),1191.3
2020,1,Sarria-Sant Gervasi,Sarria,average rent (euro/month),1417.7
2020,1,Sarria-Sant Gervasi,les Tres Torres,average rent (euro/month),1662.4
2020,1,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,average rent (euro/month),1311.5
2020,1,Sarria-Sant Gervasi,Sant Gervasi - Galvany,average rent (euro/month),1388.9
2020,1,Sarria-Sant Gervasi,el Putxet i el Farro,average rent (euro/month),1053.9
2020,1,Gracia,Vallcarca i els Penitents,average rent (euro/month),966.4
2020,1,Gracia,el Coll,average rent (euro/month),814.8
2020,1,Gracia,la Salut,average rent (euro/month),939.7
2020,1,Gracia,la Vila de Gracia,average rent (euro/month),963.6
2020,1,Gracia,el Camp d'en Grassot i Gracia Nova,average rent (euro/month),967.9
2020,1,Horta-Guinardo,el Baix Guinardo,average rent (euro/month),920.8
2020,1,Horta-Guinardo,Can Baro,average rent (euro/month),816.4
2020,1,Horta-Guinardo,el Guinardo,average rent (euro/month),841.0
2020,1,Horta-Guinardo,la Font d'en Fargues,average rent (euro/month),928.3
2020,1,Horta-Guinardo,el Carmel,average rent (euro/month),707.9
2020,1,Horta-Guinardo,la Teixonera,average rent (euro/month),741.3
2020,1,Horta-Guinardo,Sant Genis dels Agudells,average rent (euro/month),698.9
2020,1,Horta-Guinardo,Montbau,average rent (euro/month),788.1
2020,1,Horta-Guinardo,la Vall d'Hebron,average rent (euro/month),963.4
2020,1,Horta-Guinardo,Horta,average rent (euro/month),815.7
2020,1,Nou Barris,Vilapicina i la Torre Llobeta,average rent (euro/month),789.9
2020,1,Nou Barris,Porta,average rent (euro/month),690.4
2020,1,Nou Barris,el Turo de la Peira,average rent (euro/month),686.4
2020,1,Nou Barris,la Guineueta,average rent (euro/month),735.4
2020,1,Nou Barris,Canyelles,average rent (euro/month),778.0
2020,1,Nou Barris,les Roquetes,average rent (euro/month),636.8
2020,1,Nou Barris,Verdun,average rent (euro/month),675.4
2020,1,Nou Barris,la Prosperitat,average rent (euro/month),714.8
2020,1,Nou Barris,la Trinitat Nova,average rent (euro/month),565.8
2020,1,Nou Barris,Torre Baro,average rent (euro/month),452.0
2020,1,Nou Barris,Ciutat Meridiana,average rent (euro/month),546.1
2020,1,Sant Andreu,la Trinitat Vella,average rent (euro/month),605.0
2020,1,Sant Andreu,Baro de Viver,average rent (euro/month),584.1
2020,1,Sant Andreu,el Bon Pastor,average rent (euro/month),725.8
2020,1,Sant Andreu,Sant Andreu,average rent (euro/month),798.9
2020,1,Sant Andreu,la Sagrera,average rent (euro/month),777.2
2020,1,Sant Andreu,el Congres i els Indians,average rent (euro/month),815.5
2020,1,Sant Andreu,Navas,average rent (euro/month),873.0
2020,1,Sant Marti,el Camp de l'Arpa del Clot,average rent (euro/month),887.3
2020,1,Sant Marti,el Clot,average rent (euro/month),865.8
2020,1,Sant Marti,el Parc i la Llacuna del Poblenou,average rent (euro/month),969.1
2020,1,Sant Marti,la Vila Olimpica del Poblenou,average rent (euro/month),1427.5
2020,1,Sant Marti,el Poblenou,average rent (euro/month),1037.0
2020,1,Sant Marti,Diagonal Mar i el Front Maritim del Poblenou,average rent (euro/month),1233.2
2020,1,Sant Marti,el Besos i el Maresme,average rent (euro/month),749.7
2020,1,Sant Marti,Provencals del Poblenou,average rent (euro/month),1000.1
2020,1,Sant Marti,Sant Martíide Provencals,average rent (euro/month),863.0
2020,1,Sant Marti,la Verneda i la Pau,average rent (euro/month),765.3
2020,1,Ciutat Vella,el Raval,average rent per surface (euro/m2),14.5
2020,1,Ciutat Vella,Gothic Quarter,average rent per surface (euro/m2),14.2
2020,1,Ciutat Vella,la Barceloneta,average rent per surface (euro/m2),17.5
2020,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",average rent per surface (euro/m2),14.9
2020,1,Eixample,Fort Pienc,average rent per surface (euro/m2),14.6
2020,1,Eixample,la Sagrada Familia,average rent per surface (euro/m2),14.6
2020,1,Eixample,la Dreta de l'Eixample,average rent per surface (euro/m2),14.4
2020,1,Eixample,l'Antiga Esquerra de l'Eixample,average rent per surface (euro/m2),14.3
2020,1,Eixample,la Nova Esquerra de l'Eixample,average rent per surface (euro/m2),14.4
2020,1,Eixample,Sant Antoni,average rent per surface (euro/m2),14.1
2020,1,Sants-Montjuic,el Poble Sec,average rent per surface (euro/m2),14.3
2020,1,Sants-Montjuic,la Marina de Port,average rent per surface (euro/m2),11.5
2020,1,Sants-Montjuic,la Font de la Guatlla,average rent per surface (euro/m2),13.1
2020,1,Sants-Montjuic,Hostafrancs,average rent per surface (euro/m2),13.5
2020,1,Sants-Montjuic,la Bordeta,average rent per surface (euro/m2),13.4
2020,1,Sants-Montjuic,Sants - Badal,average rent per surface (euro/m2),13.8
2020,1,Sants-Montjuic,Sants,average rent per surface (euro/m2),14.5
2020,1,Les Corts,les Corts,average rent per surface (euro/m2),15.0
2020,1,Les Corts,la Maternitat i Sant Ramon,average rent per surface (euro/m2),14.2
2020,1,Les Corts,Pedralbes,average rent per surface (euro/m2),15.6
2020,1,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",average rent per surface (euro/m2),12.2
2020,1,Sarria-Sant Gervasi,Sarria,average rent per surface (euro/m2),16.9
2020,1,Sarria-Sant Gervasi,les Tres Torres,average rent per surface (euro/m2),16.3
2020,1,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,average rent per surface (euro/m2),15.8
2020,1,Sarria-Sant Gervasi,Sant Gervasi - Galvany,average rent per surface (euro/m2),15.4
2020,1,Sarria-Sant Gervasi,el Putxet i el Farro,average rent per surface (euro/m2),15.1
2020,1,Gracia,Vallcarca i els Penitents,average rent per surface (euro/m2),14.2
2020,1,Gracia,el Coll,average rent per surface (euro/m2),12.7
2020,1,Gracia,la Salut,average rent per surface (euro/m2),14.2
2020,1,Gracia,la Vila de Gracia,average rent per surface (euro/m2),14.9
2020,1,Gracia,el Camp d'en Grassot i Gracia Nova,average rent per surface (euro/m2),14.0
2020,1,Horta-Guinardo,el Baix Guinardo,average rent per surface (euro/m2),13.8
2020,1,Horta-Guinardo,Can Baro,average rent per surface (euro/m2),12.9
2020,1,Horta-Guinardo,el Guinardo,average rent per surface (euro/m2),13.6
2020,1,Horta-Guinardo,la Font d'en Fargues,average rent per surface (euro/m2),12.2
2020,1,Horta-Guinardo,el Carmel,average rent per surface (euro/m2),12.3
2020,1,Horta-Guinardo,la Teixonera,average rent per surface (euro/m2),11.6
2020,1,Horta-Guinardo,Sant Genis dels Agudells,average rent per surface (euro/m2),10.2
2020,1,Horta-Guinardo,Montbau,average rent per surface (euro/m2),11.8
2020,1,Horta-Guinardo,la Vall d'Hebron,average rent per surface (euro/m2),12.5
2020,1,Horta-Guinardo,Horta,average rent per surface (euro/m2),13.0
2020,1,Nou Barris,Vilapicina i la Torre Llobeta,average rent per surface (euro/m2),12.3
2020,1,Nou Barris,Porta,average rent per surface (euro/m2),11.4
