Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Renda_Bruta_€
2020,1,Ciutat Vella,1,el Raval,1,12798
2020,1,Ciutat Vella,1,el Raval,2,9727
2020,1,Ciutat Vella,1,el Raval,3,9932
2020,1,Ciutat Vella,1,el Raval,4,12318
2020,1,Ciutat Vella,1,el Raval,5,10575
2020,1,Ciutat Vella,1,el Raval,6,11704
2020,1,Ciutat Vella,1,el Raval,7,10806
2020,1,Ciutat Vella,1,el Raval,8,8167
2020,1,Ciutat Vella,1,el Raval,9,11322
2020,1,Ciutat Vella,1,el Raval,10,8760
2020,1,Ciutat Vella,1,el Raval,11,8504
2020,1,Ciutat Vella,1,el Raval,12,11393
2020,1,Ciutat Vella,1,el Raval,13,11647
2020,1,Ciutat Vella,1,el Raval,14,10589
2020,1,Ciutat Vella,1,el Raval,15,11120
2020,1,Ciutat Vella,1,el Raval,16,10376
2020,1,Ciutat Vella,1,el Raval,17,10122
2020,1,Ciutat Vella,1,el Raval,18,10304
2020,1,Ciutat Vella,1,el Raval,19,10638
2020,1,Ciutat Vella,1,el Raval,20,16956
2020,1,Ciutat Vella,1,el Raval,21,16697
2020,1,Ciutat Vella,2,el Barri Gòtic,22,21291
2020,1,Ciutat Vella,2,el Barri Gòtic,23,18022
2020,1,Ciutat Vella,2,el Barri Gòtic,25,15885
2020,1,Ciutat Vella,2,el Barri Gòtic,26,17626
2020,1,Ciutat Vella,2,el Barri Gòtic,27,15405
2020,1,Ciutat Vella,2,el Barri Gòtic,28,14931
2020,1,Ciutat Vella,2,el Barri Gòtic,29,11909
2020,1,Ciutat Vella,2,el Barri Gòtic,30,13381
2020,1,Ciutat Vella,2,el Barri Gòtic,31,13160
2020,1,Ciutat Vella,3,la Barceloneta,32,17136
2020,1,Ciutat Vella,3,la Barceloneta,33,13517
2020,1,Ciutat Vella,3,la Barceloneta,34,14623
2020,1,Ciutat Vella,3,la Barceloneta,35,14277
2020,1,Ciutat Vella,3,la Barceloneta,36,15748
2020,1,Ciutat Vella,3,la Barceloneta,37,14810
2020,1,Ciutat Vella,3,la Barceloneta,38,13400
2020,1,Ciutat Vella,3,la Barceloneta,39,14393
2020,1,Ciutat Vella,3,la Barceloneta,40,15843
2020,1,Ciutat Vella,3,la Barceloneta,41,13073
2020,1,Ciutat Vella,3,la Barceloneta,42,15360
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,22011
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,20380
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,16858
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,16101
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,15640
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,11704
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,15678
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,15610
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,13422
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,22260
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,14041
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,15801
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,20034
2020,2,L'Eixample,5,el Fort Pienc,1,21969
2020,2,L'Eixample,5,el Fort Pienc,2,21581
2020,2,L'Eixample,5,el Fort Pienc,3,24043
2020,2,L'Eixample,5,el Fort Pienc,4,17893
2020,2,L'Eixample,5,el Fort Pienc,5,23536
2020,2,L'Eixample,5,el Fort Pienc,6,24792
2020,2,L'Eixample,5,el Fort Pienc,7,26133
2020,2,L'Eixample,5,el Fort Pienc,8,24301
2020,2,L'Eixample,5,el Fort Pienc,9,22520
2020,2,L'Eixample,5,el Fort Pienc,10,21240
2020,2,L'Eixample,5,el Fort Pienc,11,22708
2020,2,L'Eixample,5,el Fort Pienc,12,17894
2020,2,L'Eixample,5,el Fort Pienc,13,18612
2020,2,L'Eixample,5,el Fort Pienc,14,17881
2020,2,L'Eixample,5,el Fort Pienc,15,18903
2020,2,L'Eixample,5,el Fort Pienc,16,23529
2020,2,L'Eixample,5,el Fort Pienc,17,24630
