Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Renda_Bruta_,id
2018,1,Ciutat Vella,1,el Raval,1,12391,1
2018,1,Ciutat Vella,1,el Raval,2,9577,2
2018,1,Ciutat Vella,1,el Raval,3,9833,3
2018,1,Ciutat Vella,1,el Raval,4,12977,4
2018,1,Ciutat Vella,1,el Raval,5,10142,5
2018,1,Ciutat Vella,1,el Raval,6,12634,6
2018,1,Ciutat Vella,1,el Raval,7,10994,7
2018,1,Ciutat Vella,1,el Raval,8,8288,8
2018,1,Ciutat Vella,1,el Raval,9,10456,9
2018,1,Ciutat Vella,1,el Raval,10,9090,10
2018,1,Ciutat Vella,1,el Raval,11,8841,11
2018,1,Ciutat Vella,1,el Raval,12,11228,12
2018,1,Ciutat Vella,1,el Raval,13,12113,13
2018,1,Ciutat Vella,1,el Raval,14,10737,14
2018,1,Ciutat Vella,1,el Raval,15,10699,15
2018,1,Ciutat Vella,1,el Raval,16,10369,16
2018,1,Ciutat Vella,1,el Raval,17,10120,17
2018,1,Ciutat Vella,1,el Raval,18,10622,18
2018,1,Ciutat Vella,1,el Raval,19,10399,19
2018,1,Ciutat Vella,1,el Raval,20,17330,20
2018,1,Ciutat Vella,1,el Raval,21,17160,21
2018,1,Ciutat Vella,2,el Gòtic,22,21972,22
2018,1,Ciutat Vella,2,el Gòtic,23,17409,23
2018,1,Ciutat Vella,2,el Gòtic,25,16763,24
2018,1,Ciutat Vella,2,el Gòtic,26,16741,25
2018,1,Ciutat Vella,2,el Gòtic,27,14392,26
2018,1,Ciutat Vella,2,el Gòtic,28,14772,27
2018,1,Ciutat Vella,2,el Gòtic,29,13047,28
2018,1,Ciutat Vella,2,el Gòtic,30,12864,29
2018,1,Ciutat Vella,2,el Gòtic,31,14982,30
2018,1,Ciutat Vella,3,la Barceloneta,32,16508,31
2018,1,Ciutat Vella,3,la Barceloneta,33,13191,32
2018,1,Ciutat Vella,3,la Barceloneta,34,13916,33
2018,1,Ciutat Vella,3,la Barceloneta,35,13410,34
2018,1,Ciutat Vella,3,la Barceloneta,36,14453,35
2018,1,Ciutat Vella,3,la Barceloneta,37,14310,36
2018,1,Ciutat Vella,3,la Barceloneta,38,13651,37
2018,1,Ciutat Vella,3,la Barceloneta,39,15114,38
2018,1,Ciutat Vella,3,la Barceloneta,40,16043,39
2018,1,Ciutat Vella,3,la Barceloneta,41,13040,40
2018,1,Ciutat Vella,3,la Barceloneta,42,15106,41
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,22308,42
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,20423,43
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,16166,44
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,19226,45
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,14666,46
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,11719,47
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,15423,48
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,15154,49
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,12190,50
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,23846,51
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,14279,52
