Income,district,neighbourhood,year,avg_rent,District_Income_Variability,Income_Group
15882.444,ciutat vella,el gotic,2018,1023.11,2231.290449152299,Medium-Low
16390.333,ciutat vella,el gotic,2019,1098.775,2231.290449152299,Medium-Low
15734.444,ciutat vella,el gotic,2020,1034.4,2231.290449152299,Medium-Low
11238.095,ciutat vella,el raval,2018,822.5525,2231.290449152299,Medium-Low
11778.524,ciutat vella,el raval,2019,850.9,2231.290449152299,Medium-Low
11164.524,ciutat vella,el raval,2020,834.675,2231.290449152299,Medium-Low
14431.091,ciutat vella,la barceloneta,2018,899.1825,2231.290449152299,Medium-Low
15094.273,ciutat vella,la barceloneta,2019,894.975,2231.290449152299,Medium-Low
14743.636,ciutat vella,la barceloneta,2020,863.525,2231.290449152299,Medium-Low
16840.308,ciutat vella,"sant pere, santa caterina i la ribera",2018,971.58,2231.290449152299,Medium-Low
17332.077,ciutat vella,"sant pere, santa caterina i la ribera",2019,996.725,2231.290449152299,Medium-Low
16887.692,ciutat vella,"sant pere, santa caterina i la ribera",2020,952.4,2231.290449152299,Medium-Low
21270.55,eixample,el fort pienc,2018,951.36,3287.0000200017944,Medium
21988.95,eixample,el fort pienc,2019,1010.4000000000001,3287.0000200017944,Medium
21845.4,eixample,el fort pienc,2020,1004.175,3287.0000200017944,Medium
26336.885,eixample,l'antiga esquerra de l'eixample,2018,1111.955,3287.0000200017944,Medium
27051.154,eixample,l'antiga esquerra de l'eixample,2019,1161.2,3287.0000200017944,Medium
26953.538,eixample,l'antiga esquerra de l'eixample,2020,1157.025,3287.0000200017944,Medium
29393.655,eixample,la dreta de l'eixample,2018,1252.8975,3287.0000200017944,Medium
30201.655,eixample,la dreta de l'eixample,2019,1307.225,3287.0000200017944,Medium-High
29086.828,eixample,la dreta de l'eixample,2020,1270.425,3287.0000200017944,Medium
24023.65,eixample,la nova esquerra de l'eixample,2018,986.2249999999999,3287.0000200017944,Medium
24607.675,eixample,la nova esquerra de l'eixample,2019,1051.625,3287.0000200017944,Medium
24660.025,eixample,la nova esquerra de l'eixample,2020,1035.525,3287.0000200017944,Medium
20864.971,eixample,sagrada familia,2018,910.5225,3287.0000200017944,Medium
21533.088,eixample,sagrada familia,2019,959.7,3287.0000200017944,Medium
21488.853,eixample,sagrada familia,2020,942.8,3287.0000200017944,Medium
20493.083,eixample,sant antoni,2018,934.49,3287.0000200017944,Medium
21295.625,eixample,sant antoni,2019,994.25,3287.0000200017944,Medium
21127.208,eixample,sant antoni,2020,974.15,3287.0000200017944,Medium
22968.0,gracia,el camp d'en grassot i gracia nova,2018,910.1424999999999,2418.327906414906,Medium
24012.12,gracia,el camp d'en grassot i gracia nova,2019,982.375,2418.327906414906,Medium
23802.6,gracia,el camp d'en grassot i gracia nova,2020,955.9,2418.327906414906,Medium
18414.6,gracia,el coll,2018,740.685,2418.327906414906,Medium-Low
19587.0,gracia,el coll,2019,800.425,2418.327906414906,Medium-Low
19100.4,gracia,el coll,2020,823.275,2418.327906414906,Medium-Low
23568.3,gracia,la salut,2018,874.885,2418.327906414906,Medium
24441.0,gracia,la salut,2019,915.85,2418.327906414906,Medium
24503.2,gracia,la salut,2020,970.225,2418.327906414906,Medium
22788.722,gracia,la vila de gracia,2020,953.55,2418.327906414906,Medium
25052.636,gracia,vallcarca i els penitents,2018,925.6575,2418.327906414906,Medium
25468.091,gracia,vallcarca i els penitents,2019,969.2750000000001,2418.327906414906,Medium
25370.818,gracia,vallcarca i els penitents,2020,990.9,2418.327906414906,Medium
17827.429,horta-guinardo,can baro,2018,738.1775,2887.7929325603955,Medium-Low
18668.571,horta-guinardo,can baro,2019,768.525,2887.7929325603955,Medium-Low
19069.286,horta-guinardo,can baro,2020,780.125,2887.7929325603955,Medium-Low
19596.474,horta-guinardo,el baix guinardo,2018,829.13,2887.7929325603955,Medium-Low
20589.053,horta-guinardo,el baix guinardo,2019,881.45,2887.7929325603955,Medium
20405.368,horta-guinardo,el baix guinardo,2020,895.875,2887.7929325603955,Medium
13314.727,horta-guinardo,el carmel,2018,644.975,2887.7929325603955,Medium-Low
13893.773,horta-guinardo,el carmel,2019,685.25,2887.7929325603955,Medium-Low
13771.591,horta-guinardo,el carmel,2020,687.025,2887.7929325603955,Medium-Low
18899.4,horta-guinardo,el guinardo,2018,772.4,2887.7929325603955,Medium-Low
19672.4,horta-guinardo,el guinardo,2019,819.4,2887.7929325603955,Medium-Low
19663.28,horta-guinardo,el guinardo,2020,828.425,2887.7929325603955,Medium-Low
18508.857,horta-guinardo,horta,2018,747.645,2887.7929325603955,Medium-Low
19099.143,horta-guinardo,horta,2019,782.175,2887.7929325603955,Medium-Low
19564.333,horta-guinardo,horta,2020,779.7,2887.7929325603955,Medium-Low
23197.857,horta-guinardo,la font d'en fargues,2018,824.485,2887.7929325603955,Medium
24175.571,horta-guinardo,la font d'en fargues,2019,892.9,2887.7929325603955,Medium
24165.0,horta-guinardo,la font d'en fargues,2020,927.125,2887.7929325603955,Medium
14850.125,horta-guinardo,la teixonera,2018,700.02,2887.7929325603955,Medium-Low
15303.125,horta-guinardo,la teixonera,2019,737.825,2887.7929325603955,Medium-Low
15391.5,horta-guinardo,la teixonera,2020,716.1,2887.7929325603955,Medium-Low
20614.0,horta-guinardo,la vall d'hebron,2018,859.47,2887.7929325603955,Medium
21226.5,horta-guinardo,la vall d'hebron,2019,862.825,2887.7929325603955,Medium
21821.0,horta-guinardo,la vall d'hebron,2020,872.425,2887.7929325603955,Medium
17563.5,horta-guinardo,montbau,2018,737.1825,2887.7929325603955,Medium-Low
18287.75,horta-guinardo,montbau,2019,793.425,2887.7929325603955,Medium-Low
18389.25,horta-guinardo,montbau,2020,778.875,2887.7929325603955,Medium-Low
16191.6,horta-guinardo,sant genis dels agudells,2018,655.6925,2887.7929325603955,Medium-Low
16368.6,horta-guinardo,sant genis dels agudells,2019,740.125,2887.7929325603955,Medium-Low
16557.8,horta-guinardo,sant genis dels agudells,2020,737.325,2887.7929325603955,Medium-Low
